CREATE TABLE EXIT (exitID int  not null, roomID int not null, direction text not null, destination int not null, PRIMARY KEY (exitID), FOREIGN KEY (roomID) REFERENCES ROOM(roomNumber))
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(48, 25, 'BACK', 18)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(49, 26, 'BACK', 19)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(50, 27, 'NORTH WEST', 28)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(51, 27, 'NORTH EAST', 29)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(52, 27, 'SOUTH WEST', 30)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(53, 27, 'SOUTH EAST', 31)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(54, 27, 'SOUTH', 32)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(55, 27, 'BACK', 19)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(56, 28, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(57, 29, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(58, 30, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(59, 31, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(60, 32, 'WEST', 33)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(61, 32, 'EAST', 34)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(62, 33, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(63, 34, 'BACK', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(64, 26, 'DOWN', 27)
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(65, 23, 'DOWN', 19)

